Kriitikko,Elokuvan nimi,Tähtiä,Linkki,Julkaisia
Riikka Oksanen,The Truth,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/perhedraamojen-mestari-kompastuu-omaan-napparyyteensa-ranskalaisdraamassa-fabiennen-muistelmat/,Kulttuuritoimitus.fi
Martta Kaukonen,The Truth,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/konkarit-catherine-deneuve-ja-juliette-binoche-vakuuttavat,Me Naiset
Iida Simes,The Truth,3,https://voima.fi/kulttuuriartikkeli/tylsyys-vaivaa-japanilaisen-hirokazu-kore-edan-elokuvaa-fabiennen-muistelmat/,Voima
Pertti Avola,Lasse - Best Man,3,Helsingin Sanomat 3.1.2020,Helsingin Sanomat
Päivi Valotie,Lasse - Best Man,2,Turun Sanomat 3.1.2020,Turun Sanomat
Krister Uggeldahl,Lasse - Best Man,4,Hufvudstadsbladet 3.1.2020,Hufvudstadsbladet
Jessica Poikkijoki,Lasse - Best Man,3,Vasabladet 3.1.2020,Vasabladet
Miska Rantanen,Teräsleidit,3,Helsingin Sanomat 3.1.2020,Helsingin Sanomat
Pekka Eronen,Teräsleidit,3,Aamulehti 3.1.2020,Aamulehti
Päivi Valotie,Teräsleidit,2,Turun Sanomat 3.1.2020,Turun Sanomat
Sanna Wirtavuori,Teräsleidit,4,Eeva 1/2020,Eeva
Jussi Virratvuori,Teräsleidit,2,Etelä-Suomen Sanomat 3.1.2020,Etelä-Suomen Sanomat
Krister Uggeldahl,Teräsleidit,2,Hufvudstadsbladet 3.1.2020,Hufvudstadsbladet
Jesse Raatikainen,Teräsleidit,3,https://www.episodi.fi/elokuvat/terasleidit/,Episodi
Antti Selkokari,Teräsleidit,2,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/terasleidit-elokuvassa-vanhukset-vapautuvat-niin-etta-rajoja-rikotaan-ja-viinaa-kaatuu-kurkkuun/,Kulttuuritoimitus.fi
Martta Kaukonen,Teräsleidit,4,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/pamela-tolan-uutuuskomedian-paaosassa-kolme-vanhaa-naista-lue,Me Naiset
Klas Fransberg,Teräsleidit,2,Vasabladet 3.1.2020,Vasabladet
Hannu Björkbacka,Teräsleidit,3,Keskipohjanmaa 5.1.2020,Keskipohjanmaa
Jussi Huhtala,Teräsleidit,2,Episodi 1/2020,Episodi
Niko Ikonen,Teräsleidit,3,Episodi 1/2020,Episodi
Marta Balaga,Teräsleidit,3,Episodi 1/2021,Episodi
Hannu Liekso,Teräsleidit,2,Episodi 1/2021,Episodi
Sanna Wirtavuori,Orkesterin edessä,4,Eeva 2/2020,Eeva
Kari Salminen,Orkesterin edessä,3,Turun Sanomat 7.2.2020,Turun Sanomat
Jussi Virratvuori,Orkesterin edessä,5,Etelä-Suomen Sanomat 7.2.2020,Etelä-Suomen Sanomat
Hannu Liekso,Orkesterin edessä,3,https://www.episodi.fi/elokuvat/orkesterin-edessa/,Episodi
Antti Selkokari,Orkesterin edessä,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/tahtipuikko-ei-ole-mattopiiska-orkesterin-edessa-on-hieno-dokumentti-kapellimestareiden-koulutuksesta/,Kulttuuritoimitus.fi
Krister Uggeldahl,Eteenpäin,3,Hufvudstadsbladet 6.3.2020,Hufvudstadsbladet
Jouni Vikman,Eteenpäin,4,https://www.episodi.fi/elokuvat/eteenpain/,Episodi
Aki Lehti,Eteenpäin,2.5,https://muropaketti.com/elokuvat/arvostelu-eteenpain-onward/,Muropaketti
Marta Balaga,Eteenpäin,3,Episodi 4/2021,Episodi
Niko Ikonen,Eteenpäin,4,Episodi 4/2021,Episodi
Hannu Liekso,Eteenpäin,3,Episodi 4/2021,Episodi
Maria Lättilä,Eteenpäin,4,Episodi 4/2021,Episodi
Jesse Raatikainen,Eteenpäin,3,Episodi 4/2021,Episodi
Tuomo Yrittiaho,Vakoojat valepuvuissa,3,Helsingin Sanomat 31.1.2020,Helsingin Sanomat
Henri Waltter Rehnström,Vakoojat valepuvuissa,3,Turun Sanomat 31.1.2020,Turun Sanomat
Janne Kaakko,Vakoojat valepuvuissa,2,Etelä-Suomen Sanomat 31.1.2020,Etelä-Suomen Sanomat
Maria Lättilä,Vakoojat valepuvuissa,3,https://www.episodi.fi/elokuvat/vakoojat-valepuvuissa/,Episodi
Pertti Avola,The Gentlemen,4,Helsingin Sanomat 21.2.2020,Helsingin Sanomat
Janne Kaakko,The Gentlemen,3,Aamulehti 21.2.2020,Aamulehti
Kari Salminen,The Gentlemen,2,Turun Sanomat 21.2.2020,Turun Sanomat
Jarno Lindemark,The Gentlemen,3,Etelä-Suomen Sanomat 21.2.2020,Etelä-Suomen Sanomat
Jussi U. Pellonpää,The Gentlemen,4,Forssan Lehti 21.2.2020,Forssan Lehti
Martina Moliis-Mellberg,The Gentlemen,1,Hufvudstadsbladet 21.2.2020,Hufvudstadsbladet
Timo Alho,The Gentlemen,3,Etelä-Saimaa 21.2.2020,Etelä-Saimaa
Heikki Ikonen,The Gentlemen,2,Hämeen Sanomat 21.2.2020,Hämeen Sanomat
Maria Lättilä,The Gentlemen,3,https://www.episodi.fi/elokuvat/the-gentlemen/,Episodi
Helinä Laajalahti,The Gentlemen,3,https://muropaketti.com/elokuvat/arvostelu-the-gentlemen-on-snatch-ohjaaja-guy-ritchielta-askel-oikeaan-suuntaan-aladdinin-jalkeen/,Muropaketti
Marta Balaga,The Gentlemen,2,Episodi 1/2021,Episodi
Niko Ikonen,The Gentlemen,4,Episodi 1/2021,Episodi
Hannu Liekso,The Gentlemen,4,Episodi 1/2021,Episodi
Jesse Raatikainen,The Gentlemen,4,Episodi 1/2021,Episodi
Niklas Tirkkonen,The Gentlemen,4,Episodi 1/2021,Episodi
Jouni Vikman,The Gentlemen,3,Episodi 4/2020,Episodi
Tuomo Yrittiaho,Koiranpäivät,2,Helsingin Sanomat 21.2.2020,Helsingin Sanomat
Päivi Valotie,Koiranpäivät,1,Turun Sanomat 21.2.2020,Turun Sanomat
Krister Uggeldahl,Koiranpäivät,2,Hufvudstadsbladet 21.2.2020,Hufvudstadsbladet
Jouni Vikman,Koiranpäivät,2,https://www.episodi.fi/elokuvat/koiranpaivat/,Episodi
Pertti Avola,Richard Jewell,3,Helsingin Sanomat 21.2.2020,Helsingin Sanomat
Kari Salminen,Richard Jewell,4,Turun Sanomat 21.2.2020,Turun Sanomat
Jarno Lindemark,Richard Jewell,3,Etelä-Suomen Sanomat 21.2.2020,Etelä-Suomen Sanomat
Jussi U. Pellonpää,Richard Jewell,3,Forssan Lehti 21.2.2020,Forssan Lehti
Sara Ehnholm Hielm,Richard Jewell,3,Hufvudstadsbladet 21.2.2020,Hufvudstadsbladet
Maria Lättilä,Richard Jewell,3,https://www.episodi.fi/elokuvat/richard-jewell/,Episodi
Antti Selkokari,Richard Jewell,3.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/valta-ja-maine-kaantyvat-etsijoitaan-vastaan-clint-eastwoodin-kiistellyssa-leffassa-richard-jewell/,Kulttuuritoimitus.fi
Martta Kaukonen,Richard Jewell,2,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/clint-eastwoodin-uusin-elokuva-kertoo-median-ja-fbin,Me Naiset
Aki Lehti,Richard Jewell,2.5,https://muropaketti.com/elokuvat/arvostelu-clint-eastwoodin-ohjaama-richard-jewell-elokuva-on-teknisesti-loistava-mutta-kayttaa-kerronnassaan-kyseenalaisia-keinoja/,Muropaketti
Marta Balaga,Richard Jewell,3,Episodi 4/2020,Episodi
Niko Ikonen,Richard Jewell,3,Episodi 4/2020,Episodi
Hannu Liekso,Richard Jewell,3,Episodi 4/2020,Episodi
Pertti Avola,Erämaan kutsu,3,Helsingin Sanomat 28.2.2020,Helsingin Sanomat
Henri Waltter Rehnström,Erämaan kutsu,3,Turun Sanomat 28.2.2020,Turun Sanomat
Krister Uggeldahl,Erämaan kutsu,3,Hufvudstadsbladet 28.2.2020,Hufvudstadsbladet
Heikki Ikonen,Erämaan kutsu,3,Hämeen Sanomat 28.2.2020,Hämeen Sanomat
Maria Lättilä,Erämaan kutsu,3,https://www.episodi.fi/elokuvat/eramaan-kutsu/,Episodi
Antti Selkokari,Erämaan kutsu,2.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/sisainen-susi-nayttaa-tien-lellitylle-koiralle-jack-london-filmatisoinnissa-eramaan-kutsu/,Kulttuuritoimitus.fi
Aki Lehti,Erämaan kutsu,2.5,https://muropaketti.com/elokuvat/arvostelu-harrison-fordin-tahdittama-eramaan-kutsu-olisi-toiminut-paremmin-animaationa/,Muropaketti
Jussi Huhtala,Erämaan kutsu,3,Episodi 4/2020,Episodi
Niko Ikonen,Erämaan kutsu,3,Episodi 4/2020,Episodi
Hannu Liekso,Erämaan kutsu,3,Episodi 4/2020,Episodi
Jesse Raatikainen,Erämaan kutsu,3,Episodi 4/2020,Episodi
Janne Kaakko,Sonic the Hedgehog,3,Aamulehti 28.2.2020,Aamulehti
Kari Salminen,Sonic the Hedgehog,2,Turun Sanomat 28.2.2020,Turun Sanomat
Jussi U. Pellonpää,Sonic the Hedgehog,4,Forssan Lehti 28.2.2020,Forssan Lehti
Martina Moliis-Mellberg,Sonic the Hedgehog,3,Hufvudstadsbladet 28.2.2020,Hufvudstadsbladet
Timo Alho,Sonic the Hedgehog,3,Etelä-Saimaa 28.2.2020,Etelä-Saimaa
Maria Lättilä,Sonic the Hedgehog,3,https://www.episodi.fi/elokuvat/sonic-the-movie/,Episodi
Aleksi Leskinen,Sonic the Hedgehog,2,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/videopelisankarin-oma-elokuva-sonic-the-movie-lupailee-hurjaa-kyytia-mutta-meinaa-hyytya-lenkkipolulle/,Kulttuuritoimitus.fi
Aki Lehti,Sonic the Hedgehog,2,https://muropaketti.com/elokuvat/arvostelu-jim-carrey-loistaa-muuten-kovin-keskinkertaisen-sonic-the-movien-ilkiona/,Muropaketti
Jussi Huhtala,Sonic the Hedgehog,3,Episodi 4/2020,Episodi
Niko Ikonen,Sonic the Hedgehog,3,Episodi 4/2020,Episodi
Hannu Liekso,Sonic the Hedgehog,3,Episodi 4/2020,Episodi
Pertti Avola,The Invisible Man,2,Helsingin Sanomat 28.2.2020,Helsingin Sanomat
Henri Waltter Rehnström,The Invisible Man,5,Turun Sanomat 28.2.2020,Turun Sanomat
Jussi Virratvuori,The Invisible Man,3,Etelä-Suomen Sanomat 28.2.2020,Etelä-Suomen Sanomat
Krister Uggeldahl,The Invisible Man,3,Hufvudstadsbladet 28.2.2020,Hufvudstadsbladet
Jouni Vikman,The Invisible Man,4,https://www.episodi.fi/elokuvat/the-invisible-man/,Episodi
Kaarina Lehtisalo,The Invisible Man,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/the-invisible-manin-paaroolissa-on-nyt-nainen-elisabeth-moss-kamppailee-nakymatonta-uhkaa-vastaan/,Kulttuuritoimitus.fi
Martta Kaukonen,The Invisible Man,4,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/onkos-se-offred-elisabeth-mossin-rooli-invisible-man,Me Naiset
Helinä Laajalahti,The Invisible Man,3,https://muropaketti.com/elokuvat/arvostelu-the-handmaids-tale-sarjasta-tuttu-elisabeth-moss-kannattelee-the-invisible-man-kauhuelokuvaa-hienosti/,Muropaketti
Niko Ikonen,The Invisible Man,4,Episodi 4/2020,Episodi
Hannu Liekso,The Invisible Man,3,Episodi 4/2020,Episodi
Maria Lättilä,The Invisible Man,4,Episodi 4/2020,Episodi
Veli-Pekka Lehtonen,The Specials,2,Helsingin Sanomat 28.2.2020,Helsingin Sanomat
Päivi Valotie,The Specials,3,Turun Sanomat 28.2.2020,Turun Sanomat
Jussi Virratvuori,The Specials,5,Etelä-Suomen Sanomat 28.2.2020,Etelä-Suomen Sanomat
Krister Uggeldahl,The Specials,4,Hufvudstadsbladet 28.2.2020,Hufvudstadsbladet
Marta Balaga,The Specials,3,https://www.episodi.fi/elokuvat/erityiset/,Episodi
Niko Ikonen,The Specials,3,Episodi 4/2020,Episodi
Hannu Liekso,The Specials,3,Episodi 4/2020,Episodi
Pertti Avola,Uskomaton luolapelastus,2,Helsingin Sanomat 28.2.2020,Helsingin Sanomat
Pekka Eronen,Uskomaton luolapelastus,2,Aamulehti 28.2.2020,Aamulehti
Kari Salminen,Uskomaton luolapelastus,1,Turun Sanomat 28.2.2020,Turun Sanomat
Martta Kaukonen,Uskomaton luolapelastus,2,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/tanaan-ensi-iltaan-tulee-thaimaan-luolapelastuksesta-kertova,Me Naiset
Susanna Karhapää,Vihanpidot,2,Helsingin Sanomat 14.2.2020,Helsingin Sanomat
Henri Waltter Rehnström,Vihanpidot,2,Turun Sanomat 14.2.2020,Turun Sanomat
Niko Ikonen,Vihanpidot,2,https://www.episodi.fi/elokuvat/vihanpidot/,Episodi
Pertti Avola,Ranskalaista häähumua,2,Helsingin Sanomat 20.12.2019,Helsingin Sanomat
Heini Lehtosalo,Ranskalaista häähumua,3,Eeva 1/2020,Eeva
Juho Typpö,Jojo Rabbit,3,Helsingin Sanomat 10.1.2020,Helsingin Sanomat
Pekka Eronen,Jojo Rabbit,4,Aamulehti 10.1.2020,Aamulehti
Kari Salminen,Jojo Rabbit,2,Turun Sanomat 10.1.2020,Turun Sanomat
Olli-Matti Oinonen,Jojo Rabbit,5,Etelä-Suomen Sanomat 10.1.2020,Etelä-Suomen Sanomat
Martina Moliis-Mellberg,Jojo Rabbit,2,Hufvudstadsbladet 10.1.2020,Hufvudstadsbladet
Timo Alho,Jojo Rabbit,4,Kymen Sanomat 10.1.2020,Kymen Sanomat
Riitta Lehtimäki,Jojo Rabbit,5,Eeva 1/2020,Eeva
Jussi Huhtala,Jojo Rabbit,4,https://www.episodi.fi/elokuvat/jojo-rabbit/,Episodi
Valtteri Mörttinen,Jojo Rabbit,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/sympaattinen-komedia-juutalaisvainoista-jojo-rabbit-jaa-siita-mita-disneymainen-hitler-tarina-voisi-olla/,Kulttuuritoimitus.fi
Niko Ikonen,Jojo Rabbit,4,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/onnistunutta-huumoria-vaikeasta-aiheesta-ensi-iltaelokuva-jojo,Me Naiset
Helinä Laajalahti,Jojo Rabbit,4,https://muropaketti.com/elokuvat/arvostelu-jojo-rabbit-on-onnistunut-hitler-komedia-taika-waititin-satiiri-nauraa-maailman-pahuudelle-pain-naamaa/,Muropaketti
Sebastian Granskog,Jojo Rabbit,4,Vasabladet 10.1.2020,Vasabladet
Hannu Björkbacka,Jojo Rabbit,3,Keskipohjanmaa 18.1.2020,Keskipohjanmaa
Hannu Liekso,Jojo Rabbit,4,Episodi 1/2020,Episodi
maria Lättilä,Jojo Rabbit,3,Episodi 1/2020,Episodi
Jesse Raatikainen,Jojo Rabbit,4,Episodi 1/2020,Episodi
Jouni Vikman,Jojo Rabbit,4,Episodi 1/2020,Episodi
Marta Balaga,Jojo Rabbit,4,Episodi 2/2020,Episodi
Krister Uggeldahl,Bad Boys for Life,1,Hufvudstadsbladet 17.1.2020,Hufvudstadsbladet
Timo Alho,Bad Boys for Life,1,Kymen Sanomat 17.1.2020,Kymen Sanomat
T R,Bad Boys for Life,2,Seiska 3/2020,Seiska
Jussi Huhtala,Bad Boys for Life,2,https://www.episodi.fi/elokuvat/bad-boys-for-life/,Episodi
Antti Selkokari,Bad Boys for Life,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/moottorien-ulvontaa-aseiden-pauketta-ja-mieshormonien-loisketta-bad-boys-for-life-on-hyvaa-roskaa/,Kulttuuritoimitus.fi
Aki Lehti,Bad Boys for Life,3,https://muropaketti.com/elokuvat/arvostelu-bad-boys-for-life-on-yllattaen-elokuvasarjan-paras-osa/,Muropaketti
Juho Typpö,Bad Boys for Life,3,Helsingin Sanomat 17.1.2020,Helsingin Sanomat
Janne Kaakko,Bad Boys for Life,2,Aamulehti 17.1.2020,Aamulehti
Kari Salminen,Bad Boys for Life,2,Turun Sanomat 17.1.2020,Turun Sanomat
Jussi U. Pellonpää,Bad Boys for Life,3,Forssan Lehti 17.1.2020,Forssan Lehti
Niko Ikonen,Bad Boys for Life,3,Episodi 2/2020,Episodi
Hannu liekso,Bad Boys for Life,2,Episodi 2/2020,Episodi
Jesse Raatikainen,Bad Boys for Life,2,Episodi 2/2020,Episodi
Jouni Vikman,Bad Boys for Life,3,Episodi 2/2020,Episodi
Juho Typpö,Helene,2,Helsingin Sanomat 17.1.2020,Helsingin Sanomat
Antti Selkokari,Helene,2,Aamulehti 17.1.2020,Aamulehti
Kari Salminen,Helene,4,Turun Sanomat 17.1.2020,Turun Sanomat
Jussi Virratvuori,Helene,5,Etelä-Suomen Sanomat 17.1.2020,Etelä-Suomen Sanomat
Martina Moliis-Mellberg,Helene,2,Hufvudstadsbladet 17.1.2020,Hufvudstadsbladet
Heikki Ikonen,Helene,4,Hämeen Sanomat 17.1.2020,Hämeen Sanomat
Timo Alho,Helene,4,Kymen Sanomat 17.1.2020,Kymen Sanomat
E K,Helene,4,Seiska 3/2020,Seiska
Hannu Liekso,Helene,4,https://www.episodi.fi/elokuvat/helene/,Episodi
Kaarina Lehtisalo,Helene,2.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/helene-schjerfbeckista-kertovassa-helene-elokuvassa-nostetaan-esiin-taiteilijan-suhde-einar-reuteriin/,Kulttuuritoimitus.fi
Martta Kaukonen,Helene,4,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/katsoimme-helene-schjerfbeckista-kertovan-ensi-iltaelokuvan-ja,Me Naiset
Klas Fransberg,Helene,4,Vasabladet 17.1.2020,Vasabladet
Hannu Björkbacka,Helene,5,Keskipohjanmaa 19.1.2020,Keskipohjanmaa
Kalle Kinnunen,Helene,2,Suomen Kuvalehti 3/2020,Suomen Kuvalehti
Jussi Huhtala,Helene,3,Episodi 1/2020,Episodi
Jesse Raatikainen,Helene,2,Episodi 2/2020,Episodi
Niko Ikonen,Helene,3,Episodi 2/2020,Episodi
Riitta Lehtimäki,Näkemiin Neuvostoliitto,5,Eeva 4/2020,Eeva
Jussi Huhtala,Näkemiin Neuvostoliitto,4,https://www.episodi.fi/elokuvat/nakemiin-neuvostoliitto/,Episodi
Atte Alhainen,Näkemiin Neuvostoliitto,3,Seiska,Seiska
Niko Ikonen,Näkemiin Neuvostoliitto,4,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/saako-karuista-neuvostoajoista-vitsailla-tietenkin-saa,Me Naiset
Tuomas Rantanen,Näkemiin Neuvostoliitto,4,https://voima.fi/kulttuuriartikkeli/nakemiin-neuvostoliitto-elokuvassa-kuvataan-ohjaaja-lauri-randlan-lapsuudenmuistoja-romahtavan-suurvallan-raunioilta/,Voima
Jussi U. Pellonpää,Näkemiin Neuvostoliitto,4,Forssan Lehti 7.8.2020,Forssan Lehti
Heikki Ikonen,Näkemiin Neuvostoliitto,4,Hämeen Sanomat 10.7.2020,Hämeen Sanomat
Hannu Björkbacka,Näkemiin Neuvostoliitto,3,Keskipohjanmaa 17.7.2020,Keskipohjanmaa
Marta Balaga,Näkemiin Neuvostoliitto,2,Episodi 1/2021,Episodi
Hannu Liekso,Näkemiin Neuvostoliitto,3,Episodi 1/2021,Episodi
Sanna Wirtavuori,Peitelty totuus,4,Eeva 4/2020,Eeva
Kalle Kinnunen,Peitelty totuus,3,Suomen Kuvalehti 12/2020,Suomen Kuvalehti
Niko Ikonen,Peitelty totuus,3,Episodi 3/2020,Episodi
Hannu Liekso,Peitelty totuus,3,Episodi 3/2020,Episodi
Jouni Vikman,Peitelty totuus,3,Episodi 3/2020,Episodi
Hemanus,Neiti Aika,4,Eeva 4/2020,Eeva
Mia Vistilä,Neiti Aika,4,https://voima.fi/kulttuuriartikkeli/voiko-ihmisen-tuntea-vain-tavaroidun-ja-dokumentoidun-historian-perusteella-neiti-aika-on-dokumentti-sukunsa-viimeisesta-naisesta/,Voima
Jussi Ahlroot,Neiti Aika,4,Helsingin Sanomat 21.8.2020,Helsingin Sanomat
Janne Kaakko,Neiti Aika,4,Aamulehti 21.8.2020,Aamulehti
Päivi Valotie,Neiti Aika,3,Turun Sanomat 21.8.2020,Turun Sanomat
Krister Uggedal,Neiti Aika,4,Hufvudstadsbladet 21.8.2020,Hufvudstadsbladet
Niko Ikonen,Neiti Aika,4,https://www.episodi.fi/elokuvat/neiti-aika/,Episodi
Hannu Björkbacka,Neiti Aika,4,Keskipohjanmaa 11.9.2020,Keskipohjanmaa
Marta Balaga,Neiti Aika,4,Episodi 4/2020,Episodi
Hannu Liekso,Neiti Aika,4,Episodi 4/2020,Episodi
Pertti Avola,Dolittle,2,Helsingin Sanomat 17.1.2020,Helsingin Sanomat
Henri Waltter Rehnström,Dolittle,1,Turun Sanomat 17.1.2020,Turun Sanomat
Jussi Virratvuori,Dolittle,2,Etelä-Suomen Sanomat 17.1.2020,Etelä-Suomen Sanomat
Jussi U. Pellonpää,Dolittle,2,Forssan Lehti 17.1.2020,Forssan Lehti
Krister Uggeldahl,Dolittle,2,Hufvudstadsbladet 17.1.2020,Hufvudstadsbladet
Timo Alho,Dolittle,3,Kymen Sanomat 17.1.2020,Kymen Sanomat
Niko Ikonen,Dolittle,2,https://www.episodi.fi/elokuvat/elaintohtori-dolittle/,Episodi
Helinä Laajalahti,Dolittle,2,https://muropaketti.com/elokuvat/arvostelu-elaintohtori-dolittle-on-iron-man-tahti-robert-downey-jr-n-uran-turhimpia-elokuvia/,Muropaketti
Marta Balaga,Dolittle,1,Episodi 2/2020,Episodi
Hannu liekso,Dolittle,2,Episodi 2/2020,Episodi
Jesse Raatikainen,Dolittle,3,Episodi 2/2020,Episodi
Marta Balaga,SamSam,1,https://www.episodi.fi/elokuvat/samsam/,Episodi
Maria Lättilä,Brahms: The Boy II,1,https://www.episodi.fi/elokuvat/brahms-the-boy-ii/,Episodi
Maria Lättilä,The Perfect Candidate,3,https://www.episodi.fi/elokuvat/maryam/,Episodi
Jouni Vikman,Näkemiin Professori,3,https://www.episodi.fi/elokuvat/nakemiin-professori/,Episodi
Atte Alhainen,Näkemiin Professori,4,Seiska,Seiska
Martta Kaukonen,Näkemiin Professori,1.5,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/onko-tassa-johnny-deppin-huonoin-elokuva-nakemiin-professori,Me Naiset
Helinä Laajalahti,Näkemiin Professori,2,https://muropaketti.com/elokuvat/elokuva-arvostelut/arvostelu-johnny-deppin-tahdittama-nakemiin-professori-on-tasapaksu-ja-muovinen-draamakomedia-syopaan-kuolevasta-opettajasta/,Muropaketti
Eija Niskanen,Funeral Parade of Roses ,5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/cinema-orion-toi-pride-viikolle-japanilaisen-gay-boy-kuvauksen-funeral-parade-of-rosesin/,Kulttuuritoimitus.fi
Eija Niskanen,Pieni punainen,3.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/pieni-punainen-luotaa-taistolaisuuden-varjoon-jaanytta-1960-70-lukujen-maolaista-liiketta-suomessa/,Kulttuuritoimitus.fi
Niko Ikonen,The Outpost,4,https://www.episodi.fi/elokuvat/the-outpost/,Episodi
J L,Tuulten taottu maa,3,Katso 29/2020,Katso
Atte Alhainen,Kesämaa,4,Katso 30/2020,Katso
Niko Ikonen,Kesämaa,3,https://www.episodi.fi/elokuvat/kesamaa/,Episodi
Leena Virtanen,Kesämaa,3,Helsingin Sanomat 24.7.2020,Helsingin Sanomat
J L,Upseeri ja vakooja,3,Katso 30/2020,Katso
Jussi U. Pellonpää,Upseeri ja vakooja,3,Forssan Lehti 7.8.2020,Forssan Lehti
Pertti Avola,Upseeri ja vakooja,3,Helsingin Sanomat 24.7.2020,Helsingin Sanomat
Heikki Ikonen,Upseeri ja vakooja,4,Hämeen Sanomat 24.7.2020,Hämeen Sanomat
Marta Balaga,Upseeri ja vakooja,3,Episodi 4/2020,Episodi
Jussi Huhtala,Upseeri ja vakooja,4,Episodi 4/2020,Episodi
Niko Ikonen,Upseeri ja vakooja,4,Episodi 4/2020,Episodi
Hannu Liekso,Upseeri ja vakooja,4,Episodi 4/2020,Episodi
Jesse Raatikainen,Upseeri ja vakooja,5,Episodi 4/2020,Episodi
Jouni Vikman,Upseeri ja vakooja,3,Episodi 4/2020,Episodi
Atte Alhainen,Valhalla,3,Katso 29/2020,Katso
Pertti Avola,The Grudge,1,Helsingin Sanomat 10.1.2020,Helsingin Sanomat
Henri Waltter Rehnström,The Grudge,1,Turun Sanomat 10.1.2020,Turun Sanomat
Jarno Lindemark,The Grudge,1,Etelä-Suomen Sanomat 10.1.2020,Etelä-Suomen Sanomat
Jussi U. Pellonpää,The Grudge,1,Forssan Lehti 10.1.2020,Forssan Lehti
Krister Uggeldahl,The Grudge,2,Hufvudstadsbladet 10.1.2020,Hufvudstadsbladet
Timo Alho,The Grudge,2,Kymen Sanomat 10.1.2020,Kymen Sanomat
Jouni Vikman,The Grudge,2,https://www.episodi.fi/elokuvat/the-grudge/,Episodi
Niko Ikonen,The Grudge,1,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/vuosi-vasta-alussa-mutta-yksi-leffa-floppaa-jo-nyt-ja-pahasti,Me Naiset
Aki Lehti,The Grudge,2,https://muropaketti.com/elokuvat/arvostelu-the-grudge-2020/,Muropaketti
Hannu Liekso,The Grudge,2,Episodi 2/2020,Episodi
Anton Vanha-Majamaa,Matthias & Maxime,4,Helsingin Sanomat 17.1.2020,Helsingin Sanomat
Päivi Valotie,Matthias & Maxime,3,Turun Sanomat 17.1.2020,Turun Sanomat
Jarno Lindemark,Matthias & Maxime,2,Etelä-Suomen Sanomat 17.1.2020,Etelä-Suomen Sanomat
Martina Moliis-Mellberg,Matthias & Maxime,3,Hufvudstadsbladet 17.1.2020,Hufvudstadsbladet
Jouni Vikman,Matthias & Maxime,3,https://www.episodi.fi/elokuvat/bad-boys-for-life/,Episodi
Martta Kaukonen,Matthias & Maxime,4.5,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/olisiko-tassa-uusi-call-me-your-name-ensi-iltaleffa-tarjoilee,Me Naiset
Marta Balaga,Matthias & Maxime,3,Episodi 1/2020,Episodi
Niko Ikonen,Matthias & Maxime,3,Episodi 1/2020,Episodi
Hannu liekso,Matthias & Maxime,1,Episodi 2/2020,Episodi
Veli-Pekka Lehtonen,Nuoren naisen muotokuva,4,Helsingin Sanomat 27.12.2019,Helsingin Sanomat
Pekka Eronen,Nuoren naisen muotokuva,5,Aamulehti 27.12.2019,Aamulehti
Klas Fransberg,Nuoren naisen muotokuva,5,Vasabladet 31.12.2020,Vasabladet
Kari Salminen,Nuoren naisen muotokuva,5,Turun Sanomat 27.12.2019,Turun Sanomat
Jussi Huhtala,Nuoren naisen muotokuva,4,https://www.episodi.fi/elokuvat/nuoren-naisen-muotokuva/,Episodi
Riikka Oksanen,Nuoren naisen muotokuva,5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/rakkaus-leimahtaa-naisten-saarella-nuoren-naisen-muotokuva-on-celine-sciamman-maalauksellinen-taidonnayte/,Kulttuuritoimitus.fi
