Kriitikko,Elokuvan nimi,Tähtiä,Linkki,Julkaisia
Anne Välinoro,La Belle Époque,3.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/kuusikymppisilla-menee-lujaa-ranskassa-la-belle-epoque-on-hilpea-aikamatka-ikaihmisten-petipuuhiin/,Kulttuuritoimitus.fi
Marta Balaga,La Belle Époque,4,Episodi 4/2020,Episodi
Niko Ikonen,La Belle Époque,4,Episodi 4/2020,Episodi
Hannu Liekso,La Belle Époque,3,Episodi 4/2020,Episodi
Leena Virtanen,Weathering with You,3,Helsingin Sanomat 13.3.2020,Helsingin Sanomat
Päivi Valotie,Weathering with You,3,Turun Sanomat 13.3.2020,Turun Sanomat
Sara Ehnholm Hielm,Weathering with You,4,Hufvudstadsbladet 13.3.2020,Hufvudstadsbladet
Heikki Ikonen,Weathering with You,4,Hämeen Sanomat 13.3.2020,Hämeen Sanomat
Timo Alho,Weathering with You,3,Kymen Sanomat 13.3.2020,Kymen Sanomat
Heini Lehtosalo,Weathering with You,4,Eeva 3/2020,Eeva
Jesse Raatikainen,Weathering with You,4,https://www.episodi.fi/elokuvat/weathering-with-you/,Episodi
Eija Niskanen,Weathering with You,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/weathering-with-you-on-hayao-miyazakin-manttelinperijan-makoto-shinkain-uusin-mega-animehitti/,Kulttuuritoimitus.fi
Aki Lehti,Weathering with You,2,https://muropaketti.com/elokuvat/arvostelu-weathering-with-you-on-uskomattoman-kaunis-anime-elokuva-josta-tuli-likainen-olo/,Muropaketti
Niko Ikonen,Weathering with You,4,Episodi 4/2020,Episodi
Jouni Vikman,Weathering with You,4,Episodi 4/2020,Episodi
Miska Rantanen,Aika jonka sain,3,Helsingin Sanomat 13.3.2020,Helsingin Sanomat
Pekka Eronen,Aika jonka sain,3,Aamulehti 13.3.2020,Aamulehti
Henri Waltter Rehnström,Aika jonka sain,2,Turun Sanomat 13.3.2020,Turun Sanomat
Jussi U. Pellonpää,Aika jonka sain,2,Forssan Lehti 13.3.2020,Forssan Lehti
Heikki Ikonen,Aika jonka sain,2,Hämeen Sanomat 13.3.2020,Hämeen Sanomat
Timo Alho,Aika jonka sain,4,Kymen Sanomat 13.3.2020,Kymen Sanomat
T R,Aika jonka sain,3,Seiska 11/2020,Seiska
Hannu Liekso,Aika jonka sain,1,https://www.episodi.fi/elokuvat/aika-jonka-sain/,Episodi
Niko Ikonen,Aika jonka sain,2,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/katsoimme-tuukka-ja-olga-temosen-uusimman-aika-jonka-sain,Me Naiset
Hannu Björkbacka,Aika jonka sain,2,Keskipohjanmaa 13.6.2020,Keskipohjanmaa
Jussi Huhtala,Aika jonka sain,2,Episodi 2/2021,Episodi
Miska Rantanen,Mr. Jones,4,Helsingin Sanomat 13.3.2020,Helsingin Sanomat
Antti Selkokari,Mr. Jones,4,Aamulehti 13.3.2020,Aamulehti
Kari Salminen,Mr. Jones,4,Turun Sanomat 13.3.2020,Turun Sanomat
Jarno Lindemark,Mr. Jones,4,Etelä-Suomen Sanomat 13.3.2020,Etelä-Suomen Sanomat
Jussi U. Pellonpää,Mr. Jones,3,Forssan Lehti 13.3.2020,Forssan Lehti
Sara Ehnholm Hielm,Mr. Jones,4,Hufvudstadsbladet 13.3.2020,Hufvudstadsbladet
Atte Alhainen,Mr. Jones,3,Seiska 11/2020,Seiska
Jussi Huhtala,Mr. Jones,4,https://www.episodi.fi/elokuvat/mr-jones/,Episodi
Eija Niskanen,Mr. Jones,3.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/mr-jones-neuvostojen-maassa-elokuva-walesilaisreportterin-uskomattomasta-matkasta-1930-luvulla/,Kulttuuritoimitus.fi
Martta Kaukonen,Mr. Jones,3.5,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/arvostelussa-ensi-iltadraama-mr-jones-jarkyttavat,Me Naiset
Iida Simes,Mr. Jones,4,https://voima.fi/kulttuuriartikkeli/les-miserables/,Voima
Kalle Kinnunen,Mr. Jones,3,Suomen Kuvalehti 11/2020,Suomen Kuvalehti
Marta Balaga,Mr. Jones,3,Episodi 4/2020,Episodi
Niko Ikonen,Mr. Jones,3,Episodi 4/2020,Episodi
Jouni Vikman,Mr. Jones,3,Episodi 4/2020,Episodi
Hannu Liekso,Mr. Jones,3,Episodi 3/2020,Episodi
Kari Salminen,The Cave,5,Turun Sanomat 13.3.2020,Turun Sanomat
Martta Kaukonen,The Cave,4,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/syyrialaislaakari-amani-ballour-uhmaa-maansa-ennakkoluuloja,Me Naiset
Päivi Valotie,Se mieletön remppa,2,Turun Sanomat 21.2.2020,Turun Sanomat
Jussi U. Pellonpää,Se mieletön remppa,1,Forssan Lehti 21.2.2020,Forssan Lehti
Heikki Ikonen,Se mieletön remppa,1,Hämeen Sanomat 21.2.2020,Hämeen Sanomat
Atte Alhainen,Se mieletön remppa,2,Seiska 7/2020,Seiska
Niko Ikonen,Se mieletön remppa,1,https://www.episodi.fi/elokuvat/se-mieleton-remppa/,Episodi
Martta Kaukonen,Se mieletön remppa,2,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/ei-naurata-sitten-millaan-arvostelussa-kotimainen-komedia-se,Me Naiset
Hannu Björkbacka,Se mieletön remppa,2,Keskipohjanmaa 25.2.2020,Keskipohjanmaa
Hannu Liekso,Se mieletön remppa,1,Episodi 3/2020,Episodi
T R,Les Misérables,4,Seiska 10/2020,Seiska
Kari Salminen,Les Misérables,3,Turun Sanomat 6.3.2020,Turun Sanomat
Jarno Lindemark,Les Misérables,4,Elelä-Suomen Sanomat 6.3.2020,Etelä-Suomen Sanomat
Krister Uggeldahl,Les Misérables,4,Hufvudstadsbladet 6.3.2020,Hufvudstadsbladet
Sanna Wirtavuori,Les Misérables,4,Eeva 3/2020,Eeva
Marta Balaga,Les Misérables,3,https://www.episodi.fi/elokuvat/les-miserables-2/,Episodi
Eija Niskanen,Les Misérables,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/uuden-ajan-kurjat-les-miserables-on-rajahtavan-monikulttuurisen-yhteison-kuvaus/,Kulttuuritoimitus.fi
Iida Simes,Les Misérables,4,https://voima.fi/kulttuuriartikkeli/les-miserables/,Voima
Heikki Ikonen,Les Misérables,4,Hämeen Sanomat 17.7.2020,Hämeen Sanomat
Niko Ikonen,Les Misérables,4,Episodi 2/2020,Episodi
Jesse Raatikainen,Les Misérables,4,Episodi 2/2020,Episodi
Hannu Liekso,Les Misérables,4,Episodi 4/2020,Episodi
Riitta Lehtimäki,Parasite,5,Eeva 2/2020,Eeva
Veli-Pekka Lehtonen,Parasite,5,Helsingin Sanomat 31.1.2020,Helsingin Sanomat
Antti Selkokari,Parasite,5,Aamulehti 31.1.2020,Aamulehti
Kari Salminen,Parasite,5,Turun Sanomat 31.1.2020,Turun Sanomat
Jussi Virratvuori,Parasite,5,Etelä-Suomen Sanomat 31.1.2020,Etelä-Suomen Sanomat
Jussi U. Pellonpää,Parasite,5,Forssan Lehti 31.1.2020,Forssan Lehti
Sara Ehnholm Hielm,Parasite,4,Hufvudstadsbladet 31.1.2020,Hufvudstadsbladet
Heikki Ikonen,Parasite,4,Hämeen Sanomat 31.1.2020,Hämeen Sanomat
Niina Holm,Parasite,5,https://www.episodi.fi/elokuvat/parasite/,Episodi
Valtteri Mörttinen,Parasite,5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/tuorein-kultaisen-palmun-voittaja-vihdoin-suomessa-parasite-on-villi-kuvaus-luokkayhteiskunnasta/,Kulttuuritoimitus.fi
Martta Kaukonen,Parasite,4,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/viistoa-huumoria-etelakorealaisittain-me-naisten-arvostelussa,Me Naiset
