googleID,NIMI,kaviID
90,SF Studios,elonet_yhtio_926080
91,Night Visions -elokuvafestivaali,elonet_yhtio_1490877
92,Oy Nordisk Film Ab,elonet_yhtio_222218
92,Oy Nordisk Film Ab,elonet_yhtio_1107116
93,Atlantic Film Oy,elonet_yhtio_1483436
94,Cinemanse Oy,elonet_yhtio_1488304
95,BonsaiFilms Oy,elonet_yhtio_1203826
96,SF Studios,elonet_yhtio_926080
97,Cinema Mondo,elonet_yhtio_873301
98,B-Plan Distribution Oy,elonet_yhtio_1487844
99,Oy Nordisk Film Ab,elonet_yhtio_222218
99,LevelK,elonet_yhtio_1489362
100,Night Visions -elokuvafestivaali,elonet_yhtio_1490877
101,SF Film Finland Oy,elonet_yhtio_926080
101,SF Studios,elonet_yhtio_926080
102,Tuffi Films Oy,elonet_yhtio_1487185
103,SF Studios,elonet_yhtio_926080
104,Cinemanse Oy,elonet_yhtio_1488304
106,Finnkino Oy,elonet_yhtio_710434
107,SF Film Finland Oy,elonet_yhtio_926080
107,SF Studios,elonet_yhtio_926080
108,Future Film,elonet_yhtio_222509
108,VLMedia Oy,elonet_yhtio_219880
109,SF Film Finland Oy,elonet_yhtio_926080
109,SF Studios,elonet_yhtio_926080
110,Baloa Pictures Oy,elonet_yhtio_1491239
110,LevelK,elonet_yhtio_1489362
111,Oy Nordisk Film Ab,elonet_yhtio_222218
112,Cinema Mondo,elonet_yhtio_873301
112,SF Studios,elonet_yhtio_926080
113,SF Studios,elonet_yhtio_926080
114,SF Film Finland Oy,elonet_yhtio_926080
114,SF Studios,elonet_yhtio_926080
115,Atlantic Film Finland Oy,elonet_yhtio_1483436
116,Oy Cinema Mondo Ltd.,elonet_yhtio_873301
117,B-Plan Distribution Oy,elonet_yhtio_1487844
118,Finnkino Oy,elonet_yhtio_1290373
118,SF Studios,elonet_yhtio_926080
119,SF Studios,elonet_yhtio_926080
120,Cinema Mondo,elonet_yhtio_873301
